BEN|33.9435602229,-117.641409054|2018-09-27 08:04:55|Snow|-5.2|949.5|59
HOB|33.9435602245,-117.640761244|2020-11-02 14:18:00|Sunny|39.6|859.5|56
CAN|33.9435602262,-117.640113434|2019-12-07 16:31:53|Rain|21.9|1023.9|56
DAR|33.9435602278,-117.639465625|2019-06-29 08:31:23|Rain|18.2|959.3|57
SYD|33.9435602295,-117.638817815|2019-12-18 14:27:15|Sunny|13.3|1168.3|61
MEL|33.9435602312,-117.638170006|2018-12-11 18:38:29|Snow|-5.4|944.9|61
ADL|33.9435602328,-117.637522196|2019-04-21 11:37:51|Sunny|36.6|960.9|69
ALB|33.9435602345,-117.636874387|2020-06-10 20:11:15|Snow|-5.9|1008.1|65
BRB|33.9435602362,-117.636226577|2018-03-27 01:45:01|Sunny|37.1|1160.8|57
PER|33.9435602378,-117.635578768|2020-02-24 02:28:01|Sunny|36.0|1192.1|59
BEN|33.9435602395,-117.634930958|2020-06-05 01:59:31|Snow|-3.8|1080.8|61
HOB|33.9435602412,-117.634283149|2020-09-01 02:16:26|Snow|-6.5|787.9|69
CAN|33.9435602428,-117.633635339|2018-06-18 20:06:27|Snow|-3.6|941.9|60
DAR|33.9435602445,-117.632987529|2019-12-24 08:46:39|Sunny|39.3|1175.8|64
SYD|33.9435602461,-117.63233972|2018-05-27 20:31:18|Rain|16.0|753.9|66
MEL|33.9435602478,-117.63169191|2018-03-16 14:05:30|Rain|22.6|713.7|60
ADL|33.9435602495,-117.631044101|2018-11-28 05:07:28|Sunny|16.6|1069.4|56
ALB|33.9435602511,-117.630396291|2020-05-22 17:21:08|Snow|-5.8|1140.0|66
BRB|33.9435602528,-117.629748482|2018-07-01 00:23:03|Sunny|10.1|1028.2|60
PER|33.9435602545,-117.629100672|2020-08-22 22:10:39|Snow|-4.7|833.4|63
BEN|33.9435602561,-117.628452863|2019-10-12 00:59:15|Snow|-1.2|1158.8|62
HOB|33.9435602578,-117.627805053|2019-08-29 13:16:19|Snow|-5.8|1152.3|65
CAN|33.9435602594,-117.627157244|2019-12-05 22:11:58|Sunny|29.0|934.7|68
DAR|33.9435602611,-117.626509434|2018-11-02 21:24:25|Rain|22.3|1150.7|58
SYD|33.9435602628,-117.625861624|2020-01-16 06:05:15|Sunny|16.7|1181.3|60
MEL|33.9435602644,-117.625213815|2019-09-06 10:20:10|Rain|17.6|985.9|65
ADL|33.9435602661,-117.624566005|2018-12-26 05:44:09|Rain|24.3|1169.9|70
ALB|33.9435602678,-117.623918196|2018-08-08 19:05:21|Sunny|20.5|1098.6|64
BRB|33.9435602694,-117.623270386|2019-04-26 21:34:34|Snow|-1.4|725.7|70
PER|33.9435602711,-117.622622577|2018-07-12 16:14:22|Sunny|33.1|810.3|67
BEN|33.9435602728,-117.621974767|2018-03-20 14:25:34|Sunny|21.4|965.9|61
HOB|33.9435602744,-117.621326958|2020-05-05 03:00:10|Rain|15.1|746.7|63
CAN|33.9435602761,-117.620679148|2018-07-17 14:14:02|Sunny|15.4|842.7|70
DAR|33.9435602777,-117.620031339|2020-08-09 08:20:54|Snow|-6.4|970.4|57
SYD|33.9435602794,-117.619383529|2020-04-17 04:56:07|Rain|23.4|712.9|68
MEL|33.9435602811,-117.61873572|2018-06-29 18:21:48|Rain|21.2|768.0|69
ADL|33.9435602827,-117.61808791|2018-11-23 14:21:57|Rain|20.0|774.9|57
ALB|33.9435602844,-117.6174401|2020-07-18 13:59:46|Rain|16.5|811.8|56
BRB|33.9435602861,-117.616792291|2018-01-15 14:12:06|Snow|-2.6|1040.8|61
PER|33.9435602877,-117.616144481|2019-12-07 05:01:40|Snow|-3.3|1183.4|64
BEN|33.9435602894,-117.615496672|2018-04-19 02:25:22|Snow|-7.0|1190.0|67
HOB|33.943560291,-117.614848862|2018-11-18 11:41:15|Rain|18.7|748.6|65
CAN|33.9435602927,-117.614201053|2018-09-21 02:55:47|Sunny|22.2|986.8|70
DAR|33.9435602944,-117.613553243|2018-09-14 02:17:56|Snow|-1.2|793.2|68
SYD|33.943560296,-117.612905434|2019-03-24 08:09:18|Rain|23.7|1053.0|62
MEL|33.9435602977,-117.612257624|2020-01-14 23:34:55|Rain|15.6|962.8|64
ADL|33.9435602994,-117.611609815|2019-09-13 12:29:27|Rain|20.4|1192.8|59
ALB|33.943560301,-117.610962005|2018-01-21 14:55:28|Rain|23.5|703.8|68
BRB|33.9435603027,-117.610314195|2019-09-18 20:53:15|Sunny|30.4|1044.1|61
PER|33.9435603044,-117.609666386|2020-03-25 23:21:45|Rain|16.5|794.6|56
BEN|33.943560306,-117.609018576|2020-05-21 20:24:01|Sunny|15.7|815.5|66
HOB|33.9435603077,-117.608370767|2020-07-31 23:05:49|Rain|21.2|978.4|68
CAN|33.9435603093,-117.607722957|2018-01-31 01:12:27|Rain|16.4|761.6|68
DAR|33.943560311,-117.607075148|2019-07-29 01:04:20|Snow|-3.8|915.0|60
SYD|33.9435603127,-117.606427338|2019-12-20 19:38:23|Sunny|39.2|736.7|64
MEL|33.9435603143,-117.605779529|2020-11-13 07:11:46|Rain|19.5|804.0|70
ADL|33.943560316,-117.605131719|2018-07-17 14:20:04|Snow|-4.6|959.7|58
ALB|33.9435603177,-117.60448391|2019-06-19 23:10:55|Snow|-6.1|815.3|58
BRB|33.9435603193,-117.6038361|2020-04-18 14:15:56|Sunny|36.8|769.9|58
PER|33.943560321,-117.603188291|2019-04-29 09:19:54|Rain|18.2|975.7|62
BEN|33.9435603227,-117.602540481|2020-05-13 04:24:22|Snow|-6.2|1126.4|56
HOB|33.9435603243,-117.601892671|2019-10-28 08:16:00|Sunny|18.5|1160.9|63
CAN|33.943560326,-117.601244862|2020-11-30 23:59:31|Snow|-1.3|709.2|67
DAR|33.9435603276,-117.600597052|2020-03-13 23:12:13|Snow|-3.0|1112.2|61
SYD|33.9435603293,-117.599949243|2019-01-22 17:10:05|Rain|21.9|1097.3|59
MEL|33.943560331,-117.599301433|2019-07-18 01:38:17|Rain|16.1|790.2|68
ADL|33.9435603326,-117.598653624|2020-10-11 11:18:48|Snow|-4.9|757.1|61
ALB|33.9435603343,-117.598005814|2019-10-22 04:10:05|Snow|-2.7|807.8|65
BRB|33.943560336,-117.597358005|2020-09-07 14:38:28|Sunny|37.4|1178.7|66
PER|33.9435603376,-117.596710195|2019-05-17 10:11:26|Rain|22.9|1005.5|61
BEN|33.9435603393,-117.596062386|2019-03-17 06:59:40|Sunny|24.4|1199.1|61
HOB|33.9435603409,-117.595414576|2019-12-04 05:33:15|Sunny|18.5|849.6|58
CAN|33.9435603426,-117.594766766|2019-03-03 20:53:37|Rain|18.4|965.0|66
DAR|33.9435603443,-117.594118957|2018-04-05 02:52:12|Snow|-2.3|1147.7|68
SYD|33.9435603459,-117.593471147|2019-03-21 20:56:22|Rain|15.8|1164.3|57
MEL|33.9435603476,-117.592823338|2018-06-01 22:15:01|Rain|23.2|962.6|57
ADL|33.9435603493,-117.592175528|2019-02-06 19:46:47|Snow|-6.0|1067.6|70
ALB|33.9435603509,-117.591527719|2019-04-01 03:59:44|Snow|-2.4|898.6|69
BRB|33.9435603526,-117.590879909|2020-02-09 17:25:31|Sunny|30.0|1099.0|66
PER|33.9435603543,-117.5902321|2018-02-24 02:00:45|Rain|16.7|1012.6|62
